subject,question,difficulty,answer,explanation
Physics,A new unit (a) of length is chosen such that it is equal to the speed of light in vacuum. What is the distance between Venus and Earth in terms of a units if light takes 6 min. 40 s to cover this distance? (1) 200 a (2) 400 a (3) 300 a (4) 500 a,medium,(2) 400 a,"The time taken is 6 min 40 s, which is 400 seconds. Since the unit 'a' is equal to the speed of light, Distance = speed * time = a * 400 = 400 a."
Physics,"Consider the equation $H = \frac{x^p \epsilon^q E^r}{t^s}$. Where H = magnetic field intensity; E = electric field; \epsilon = permittivity, x = distance, t = time. The values of p, q, r and s respectively are: (1) 1, 1, 1, 1 (2) -1, 1, 2, 1 (3) 1, -1, -2, 1 (4) -1, -2, -2, 1",hard,"(1) 1, 1, 1, 1","By dimensional analysis, [H] = M L^-1 T^-2. Equating dimensions of H with the right-hand side of the equation yields p=1, q=1, r=1, s=1."
Physics,A car moving with a speed of 54 km/h takes a turn of radius 20 m. A simple pendulum is suspended from the ceiling of the car. Determine the angle made by the string of the pendulum with the vertical during the turning. (Take g = 10 m/s^2) (1) tan^-1(0.5) (2) tan^-1(0.75) (3) tan^-1(1.125) (4) tan^-1(0.25),medium,(3) tan^-1(1.125),"The speed v = 54 km/h = 15 m/s. The angle is given by $\tan\theta = \frac{v^2}{rg} = \frac{225}{20 \times 10} = 1.125$. Thus, $\theta = \tan^{-1}(1.125)$."
Physics,"A gas balloon is going up with a constant velocity of 10 m/s. When this balloon reached a height of 75 m, a stone is dropped from it and balloon keeps moving up with the same velocity. The height of the balloon when the stone hits the ground is: (Take g = 10 m/s^2) (1) 85 m (2) 150 m (3) 129 m (4) 125 m",medium,(4) 125 m,"For the dropped stone: -75 = 10t - 0.5(10)t^2, which simplifies to t^2 - 2t - 15 = 0, giving t = 5 s. The balloon's height after 5 s is 75 + 10(5) = 125 m."
Physics,"A thin biconvex lens is prepared from the glass (\mu = 1.5) both curved surfaces of which have equal radii of 20 cm each. Left side surface of the lens is silvered from outside to make it reflecting. To have the position of image and object at the same place, the object should be placed, from the lens at a distance of: (1) 10 cm (2) 12.5 cm (3) 13 cm (4) 13.5 cm",hard,(1) 10 cm,"The focal length of the mirror part is -10 cm, and the lens part is 20 cm. Equivalent focal length $\frac{1}{f} = \frac{1}{f_m} - \frac{2}{f_L} = -\frac{1}{5}$, so f = -5 cm. To form an image at the object's position, it must be placed at the center of curvature u = 2f = 10 cm."
Physics,"Two identical bodies, projected with the same speed at two different angles cover the same horizontal range R. If the time of flight of these bodies are 5 s and 10 s, respectively, then the value of R is: (1) 250 (2) 25 (3) 500 (4) 125",medium,(1) 250,"For the same range, angles are complementary. T1 = 2u sin(\theta)/g = 10, T2 = 2u cos(\theta)/g = 5. Range R = 2(u sin\theta)(u cos\theta)/g = 2(50)(25)/10 = 250 m."
Physics,"A solid cylinder having radius R and length L is slipping on a rough horizontal plane. At time t=0 the cylinder has a translational velocity v0 = 49 m/s, perpendicular to its axis and a rotational velocity v0/4R about the centre. The time taken by the cylinder to start rolling is: (\mu_k = 0.25 and g = 9.8 m/s^2) (1) 15 s (2) 5 s (3) 10 s (4) 7.5 s",hard,(2) 5 s,Translational velocity v = v0 - \mu_k g t. Rotational velocity \omega = \omega_0 + (2\mu_k g t)/R. Pure rolling starts when v = R\omega. Solving gives t = v0 / (4\mu_k g) = 5 s.
Physics,"A liquid of density 600 kg/m^3 flowing steadily in a tube of varying cross-section. The cross-section at A is 1.0 cm^2 and that at B is 20 mm^2. Both points are in same horizontal plane, speed at A is 10 cm/s. The difference in pressures at A and B is: (1) 18 Pa (2) 144 Pa (3) 36 Pa (4) 72 Pa",medium,(4) 72 Pa,"Using continuity A1 V1 = A2 V2, V2 = 50 cm/s. By Bernoulli's principle, P1 - P2 = 0.5 \rho (V2^2 - V1^2) = 0.5 * 600 * (0.5^2 - 0.1^2) = 72 Pa."
Physics,A spherical liquid drop of radius R acquires the terminal velocity V1 when falls through a gas of viscosity \eta. Now the drop is broken into 64 identical droplets and each droplet acquires terminal velocity V2. The ratio of terminal velocities V1/V2 is: (1) 4 (2) 0.25 (3) 32 (4) 16,medium,(4) 16,"Volume conservation gives R1^3 = 64 R2^3, so R2 = R1/4. Since terminal velocity is proportional to R^2, V1/V2 = (R1/R2)^2 = 16."
Physics,One mole of diatomic gas having rotational modes only is kept is a cylinder with a piston system. The cross-section area is 4 cm^2. The gas is heated slowly to raise the temperature by 1.2 C during which the piston moves by 25 mm. The amount of heat supplied is: (1) 24.8 J (2) 25 J (3) 15.04 J (4) 29.98 J,hard,(2) 25 J,Q = \Delta U + W. Q = (f/2)nR\Delta T + P\Delta V. For a diatomic gas f=5. Q = 2.5(1)(8.3)(1.2) + 10^5(25e-3)(4e-4) = 25.9 J. 25 J is the closest matching option.
Physics,Initial pressure and volume of a monoatomic ideal gas are P and V. The change in internal energy of this gas in adiabatic expansion to volume V_final = 27V is: (1) -2PV(3\sqrt{3}-1) (2) 4/3 PV (3) -4/3 PV (4) 3/4 PV,medium,(3) -4/3 PV,"For monoatomic gas, \gamma = 5/3. Using PV^\gamma = constant, P2 = P/243. \Delta U = (P2V2 - P1V1)/(\gamma - 1) = ((P/243)*27V - PV)/(2/3) = -4/3 PV."
Physics,"The frequency of oscillation of a mass m suspended by spring is v1. If the length of the spring is cut to half, the same mass oscillates with frequency v2. The value of v2/v1 is: (1) 1 (2) 2 (3) \sqrt{2} (4) \sqrt{3}",easy,(3) \sqrt{2},"Spring constant k is inversely proportional to its length. Cutting it in half doubles k (k2 = 2k1). Frequency is proportional to \sqrt{k}, so v2/v1 = \sqrt{2}."
Physics,A monochromatic source of light operating at 15 kW emits 2.5 * 10^22 photons/s. The region of an electromagnetic spectrum to which the emitted radiation belongs to: (1) Microwave (2) Infrared (3) Visible (4) Ultraviolet,medium,(4) Ultraviolet,"Power P = n(hc/\lambda). \lambda = (6.6e-34 * 3e8 * 2.5e22) / 15e3 = 3.3e-7 m = 330 nm, which falls in the Ultraviolet region."
Physics,"A current carrying circular loop of radius 2 cm with unit normal n = (k+i)/\sqrt{2} is placed in a magnetic field, B = Bo(3i+2k). Bo = 4*10^-3 T and I = 100\sqrt{2} A. The torque experienced is: (1) 16*10^-5 k (2) 5024*10^-7 k (3) 5024*10^-7 i (4) 5024*10^-7 j",hard,(4) 5024*10^-7 j,"Torque \tau = M \times B. M = I * A * n. Calculating the cross product yields \tau = 50.24 * 10^-5 j, which equals 5024 * 10^-7 j."
Physics,A 30 cm long solenoid has 10 turns per cm and area of 5 cm^2. The current varies from 2 A to 4 A in 3.14 s. The e.m.f. induced in the coil is \alpha * 10^-5 V. The value \alpha is:,medium,12,EMF = -L di/dt = -\mu_0 n^2 A l (di/dt) = 4\pi(10^-7)(10^6)(5e-4)(0.3)(2/\pi) = 12 * 10^-5 V.
Physics,Two point charges q1 = 3 \muC and q2 = -4 \muC are placed at points (2i+3j+3k) and (i+j+k) respectively. Force on charge q2 is: (1) (12i+24j+24k)*10^-3 N (2) (4i+8j+8k)*10^-3 N (3) (3i+6j+6k)*10^-3 N (4) (-4i-8j-8k)*10^-3 N,medium,(2) (4i+8j+8k)*10^-3,Position vector r = r2 - r1 = -i - 2j - 2k. Force F = k*q1*q2*r / |r|^3. Substituting values gives 4*10^-3 (i + 2j + 2k) N.
Physics,Light ray incident along a vector AO (AO = 2i - 3j) emerges out along vector OB (OB = Ci - 4j) between boundaries \mu_1 = 1 and \mu_2 = 1.5. The value of C is: (1) 60 (2) 1.6 (3) 120 (4) 34,hard,(2) 1.6,"By Snell's Law, 1 * sin(\alpha) = 1.5 * sin(\beta). Using vectors to find sines, 2/\sqrt{13} = 1.5 * C/\sqrt{C^2+16}. Solving for C yields approximately 1.6."
Physics,K1 and K2 be the maximum kinetic energies of photoelectrons emitted for light of wavelength \lambda_1 and \lambda_2. If \lambda_1 = 2\lambda_2 then the work function is: (1) K2 + 2K1 (2) 2K2 - K1 (3) K1 - 2K2 (4) K2 - 2K1,medium,(4) K2 - 2K1,"Photoelectric equation: K1 = hc/2\lambda_2 - \phi, thus 2K1 = hc/\lambda_2 - 2\phi. For second case: K2 = hc/\lambda_2 - \phi. Subtracting equations gives \phi = K2 - 2K1."
Physics,"Two radioactive substances A and B of mass numbers 200 and 212 respectively, show spontaneous alpha-decay with same Q value of 1 MeV. The ratio of energies of alpha-rays produced by A and B is: (1) 2548/2650 (2) 2597/2600 (3) 2706/2646 (4) 2862/2499",hard,(2) 2597/2600,Kinetic energy of alpha K_\alpha = ((A-4)/A)Q. Ratio K_{\alpha_1}/K_{\alpha_2} = (196/200) / (208/212) = 2597/2600.
Physics,A parallel plate capacitor is having separation between plates 0.885 mm. It has a capacitance of 1 \muF when filled with insulating material of resistivity 10^13 \Omegam and resistance 17.7*10^14 \Omega. Relative permittivity is \alpha * 10^7. The value of \alpha is:,hard,2,"R = \rho * d / A => A = \rho * d / R. Capacitance C = K * \epsilon_0 * A / d. Substituting A, we find K = C * \rho / (\epsilon_0 * R) = 2 * 10^7. So \alpha = 2."
Mathematics,"Consider the relation R on the set {-2,-1,0,1,2} defined by (a,b) \in R if and only if 1+ab>0. Then among the statements: I. The number of elements in R is 17. II. R is an equivalence relation. (1) Only I is true (2) Only II is true (3) Both I and II are true (4) Neither I nor II is true",medium,(1) Only I is true,"Reflexive: 1+a^2>0 (True). Symmetric: 1+ab>0 => 1+ba>0 (True). Transitive: (-2,0) and (0,2) in R, but (-2,2) is not (False). Out of 25 pairs, 8 fail the condition, leaving 17 elements. Thus, only Statement I is true."
Mathematics,The number of values of z \in C satisfying |z-(4+8i)| = \sqrt{10} and |z-(3+5i)| + |z-(5+11i)| = 4\sqrt{5} is: (1) 0 (2) 2 (3) 1 (4) 4,hard,(2) 2,"The second equation defines an ellipse with center (4,8), a=2\sqrt{5}, and b=\sqrt{10}. The first equation defines a circle concentric to the ellipse with radius matching the semi-minor axis. Thus, they intersect at exactly 2 points."
Mathematics,"If the system of linear equations: x+y+z=6, x+2y+5z=10, 2x+3y+\lambda z=\mu has infinitely many solutions, then the value of \lambda+\mu equals: (1) 12 (2) 16 (3) 22 (4) 28",medium,(3) 22,"For infinite solutions, the determinants D, D1, D2, and D3 must be zero. D = \lambda - 6 = 0 \Rightarrow \lambda = 6. D3 = \mu - 16 = 0 \Rightarrow \mu = 16. Therefore, \lambda + \mu = 22."
Mathematics,"Let A = [a 1 2; 2 3 0; 0 4 5] and B = [1 0 0; 0 -5a 0; 0 4a -2a] + adj(A). If det(B) = 66, then det(adj(A)) equals: (1) 289 (2) 361 (3) 441 (4) 529",hard,(3) 441,"Determinant |A| = 5a + 6. Matrix B simplifies such that |B| = 6(5a + 6) = 66, which gives a = 1. Consequently, |A| = 21. det(adj A) = |A|^2 = 441."
Mathematics,Let a = 3+4+8+9+13+14+.... upto 40 terms. If (tan \beta)^(a/1020) is a root of x^2+x-2=0 then sin^2 \beta + 3 cos^2 \beta is: (1) 2 (2) 7/4 (3) 5/2 (4) 3/2,hard,(1) 2,The series sum splits into two arithmetic progressions totaling a = 2040. The equation root is x = 1. Thus (tan \beta)^2 = 1. This means sin^2 \beta = 1/2 and cos^2 \beta = 1/2. The result is 1/2 + 3/2 = 2.
Mathematics,"A candidate uses bus, scooter, and car with probabilities 2/5, 1/5, and 2/5. Probabilities of reaching late are 1/5, 1/3, 1/4 respectively. Given the candidate reached late, the probability they traveled by bus is: (1) 11/37 (2) 12/37 (3) 13/37 (4) 14/37",medium,(2) 12/37,Using Bayes' theorem: P(Bus|Late) = (2/5 * 1/5) / (2/5*1/5 + 1/5*1/3 + 2/5*1/4) = 12/37.
Mathematics,"A set of four observations has mean 1 and variance 13. Another set of six observations has mean 2 and variance 1. Then, the variance of all 10 observations is: (1) 5.96 (2) 6.14 (3) 6.04 (4) 6.24",medium,(3) 6.04,Combined variance = (n1*s1^2 + n2*s2^2)/(n1+n2) + (n1*n2/(n1+n2)^2)*(\bar{x}_1 - \bar{x}_2)^2. Evaluating (52+6)/10 + 24/100 * (2-1)^2 = 6.04.
Mathematics,"If 26( (2^3)/3 (13C2) + (2^5)/5 (12C4) + ... + (2^13)/13 (12C12) ) = 3^13 - \alpha, then \alpha is: (1) 45 (2) 48 (3) 51 (4) 54",hard,(3) 51,"By expanding (1+x)^12 and integrating both sides from -2 to 2, the series simplifies, isolating \alpha. Calculating gives \alpha = 51."
Mathematics,A person has three different bags and four different books. The number of ways in which he can put these books in the bags so that no bag is empty is: (1) 18 (2) 36 (3) 39 (4) 72,medium,(2) 36,"The 4 books must be distributed into 3 non-empty bags, implying a 2-1-1 grouping. Number of ways = (4! / (2! * 1! * 1! * 2!)) * 3! = 6 * 6 = 36."
Mathematics,"If a straight line drawn through the point of intersection of 4x+3y-1=0 and 3x+4y-1=0 meets the axes at P and Q, the locus of the mid point of PQ is: (1) x+y-7=0 (2) x+y-14xy=0 (3) 2x+y+14xy=0 (4) x+2y-14xy=0",medium,(2) x+y-14xy=0,"Intersection point is (1/7, 1/7). The line meets axes at 2h and 2k. Since (1/7, 1/7) lies on x/2h + y/2k = 1, we get 1/14h + 1/14k = 1. The locus is 1/x + 1/y = 14 => x+y-14xy=0."
Mathematics,Let O be the vertex of parabola y^2=4x and its chords OP and OQ are perpendicular. The locus of mid-point of PQ is a conic C. The length of its latus rectum is: (1) 1 (2) 2 (3) 4 (4) 8,hard,(2) 2,"Let endpoints be parametric t1 and t2. Perpendicularity gives t1*t2 = -4. Eliminating t1, t2 for midpoint (h,k) yields locus k^2 = 2h - 8, which is a parabola with Latus Rectum = 2."
Mathematics,"Let \alpha = 3 sin^-1(6/11) and \beta = 3 cos^-1(4/9). Statement I: cos(\alpha+\beta)>0. Statement II: cos(\alpha)<0. (1) Both are true (2) Both are false (3) I true, II false (4) I false, II true",hard,(1) Both Statement I and Statement II are true,"\alpha falls in (\pi/2, 3\pi/4) causing cos(\alpha)<0. \beta falls in (\pi, 3\pi/2). Their sum is in (3\pi/2, 9\pi/4), placing it in the 4th/1st quadrant where cosine is positive. Both statements are true."
Mathematics,"For the function f(x) = e^sin|x| - |x|. Statement I: f is differentiable for all x in R. Statement II: f is increasing in (-\pi, -\pi/2). (1) Both true (2) Both false (3) I true, II false (4) I false, II true",medium,(4) Statement I is false but Statement II is true,"The absolute value |x| causes non-differentiability at x=0, making Statement I false. In the given interval, f'(x) > 0, making Statement II true."
Mathematics,"Let a = 4i - j + 3k, b = 10i + 2j - k. Vector c satisfies 2(a x b) + 3(b x c) = 0. If a.c = 15, then c.(i + j - 3k) is: (1) -6 (2) -5 (3) -4 (4) -3",hard,(2) -5,"Simplifying cross products: (2a - 3c) x b = 0 => 2a - 3c is parallel to b. Using a.c = 15 resolves the scale factor, and solving for the required dot product yields -5."
Mathematics,"Let foot of perpendicular from (\lambda, 2, 3) on line (x-4)/1 = (y-9)/2 = (z-5)/1 be (1, \mu, 2). Distance between lines (x-1)/2=(y-2)/3=(z+4)/6 and (x-\lambda)/2=(y-\mu)/3=(z+5)/6 is: (1) 12/7 (2) \sqrt{145}/7 (3) \sqrt{146}/7 (4) \sqrt{143}/7",hard,(3) \sqrt{146}/7,"Point (1,\mu,2) satisfies the first line giving \mu=3. Perpendicular dot product gives \lambda=2. Finding shortest distance between the two resulting parallel lines yields \sqrt{146}/7."
Mathematics,The value of the integral from 0 to 2 of \sqrt{x(x^2+x+1)} / (\sqrt{x+1} \sqrt{x^4+x^2+1}) dx is: (1) 1/3 ln(3-2\sqrt{2}) (2) 2/3 ln(4+\sqrt{2}) (3) 2/3 ln(3+2\sqrt{2}) (4) 1/3 ln(1+6\sqrt{2}),hard,(3) 2/3 ln(3+2\sqrt{2}),"Factoring x^4+x^2+1 = (x^2+x+1)(x^2-x+1) simplifies the expression. Substituting t = x^{3/2} allows standard integration, giving 2/3 ln(3+2\sqrt{2})."
Mathematics,Let y=y(x) be the solution of x \sqrt{1-x^2} dy + (y \sqrt{1-x^2} - x cos^-1 x) dx = 0. Then y(1/2) equals: (1) 3 - \pi/\sqrt{3} (2) 4 - \sqrt{3}\pi (3) 4 - 2\pi/\sqrt{3} (4) 3 - \pi/(2\sqrt{3}),hard,(1) 3 - \pi/\sqrt{3},"This reduces to a linear differential equation dy/dx + y/x = cos^-1 x / \sqrt{1-x^2}. The integrating factor is x. After integration and boundary application, y(1/2) computes to 3 - \pi/\sqrt{3}."
Mathematics,"Let f(x) = (x-1)/(x+1). Let f^i+1(x) = f(f^i(x)). If g(x) + f^26(x) = 0, the area bounded by y=g(x), 2y=2x-3, y=0 and x=4 is: (1) 1/8 + ln 2 (2) 1/4 + ln 2 (3) 5/6 + 3 ln 2 (4) 5/6 + ln 2",hard,(1) 1/8 + ln 2,"Testing iterations reveals f^4(x) = x, meaning f is periodic. f^26(x) = f^2(x) = -1/x. So g(x) = 1/x. Integrating the bounded region yields 1/8 + ln 2."
Mathematics,"Let A(x) = 1/3 for x \le \pi/2, and b(1-sin x)/(\pi-2x)^2 for x > \pi/2. If continuous at x=\pi/2, the value of integral 0 to 3b-6 of |x^2+2x-3| dx is: (1) 5 (2) 2 (3) 3 (4) 4",medium,(4) 4,"Continuity at \pi/2 requires limits to match, yielding b = 8/3. The upper limit of the integral 3(8/3)-6 = 2. The integral evaluates to 4."
Mathematics,"Let x^2/f(a^2+7a+3) + y^2/f(3a+15) = 1 represent an ellipse with major axis along y-axis, where f is strictly decreasing positive function. If set of possible values of a is R - [\alpha, \beta], then \alpha^2 + \beta^2 is: (1) 28 (2) 40 (3) 61 (4) 24",medium,(2) 40,"A major axis along y-axis implies denominator of y^2 is larger. Since f is decreasing, 3a+15 < a^2+7a+3. This inequality yields roots -6 and 2. \alpha=-6, \beta=2. \alpha^2+\beta^2 = 40."
Chemistry,"Match List-I (Mass) with List-II (Number of atoms). A. 1.8 mg water B. 9.8 mg H2SO4 C. 1.8 mg carbon D. 5.85 mg NaCl. Options: (1) A-IV, B-III, C-I, D-II (2) A-III, B-II, C-IV, D-I (3) A-III, B-IV, C-II, D-I (4) A-III, B-IV, C-I, D-II",medium,"(3) A-III, B-IV, C-II, D-I",Using (Mass/Molar Mass) * NA * Atom Count per molecule: Water yields 3e-4 NA; H2SO4 yields 7e-4 NA; Carbon yields 1.5e-4 NA; NaCl yields 2e-4 NA.
Chemistry,"Given Molar mass of C, H, O, Cl are 12, 1, 16, 35.5. Statement I: In 30% (w/w) solution of methanol in CCl4, mole fraction of CCl4 is 0.33. Statement II: Mixture shows positive deviation from Raoult's law. (1) Both true (2) Both false (3) I true, II false (4) I false, II true",medium,(1) Both Statement I and Statement II are true,"Mole fraction calculates perfectly to ~0.33. Methanol and CCl4 disrupt hydrogen bonds, causing a positive deviation from Raoult's law."
Chemistry,"Bromine trifluoride autoionizes to form BrF2+ and BrF4-. The shapes of the cation and anion are respectively: (1) bent, square planar (2) linear, square planar (3) bent, see-saw (4) linear, tetrahedral",medium,"(1) bent, square planar","BrF2+ has 2 bond pairs and 2 lone pairs (sp3, bent). BrF4- has 4 bond pairs and 2 lone pairs (sp3d2, square planar)."
Chemistry,"Which of the following are not correct? A. For water, |Kb| > |Kf|. B. Elevation in BP is larger than depression in FP for same molality. C. Osmotic pressure preferred for polymers. D. Dimerised benzoic acid in benzene structure... (1) A, B only (2) A, D only (3) A, B, D only (4) A, C, D only",hard,"(3) A, B and D only","For water, Kb (0.512) is less than Kf (1.86), so A and B are incorrect. D is incorrect due to structural details. C is the only correct statement."
Chemistry,Consider reactions: 2xy \rightleftharpoons x2+y2 (K1 = 2.5e5); xy + 0.5z2 \rightleftharpoons xyz (K2 = 5e-3). Value of K3 for 0.5x2 + 0.5y2 + 0.5z2 \rightleftharpoons xyz is: (1) 2.5e-3 (2) 2.5e3 (3) 1.0e-5 (4) 5e-3,hard,(3) 1.0 \times 10^{-5},Reversing and halving the first equation gives an equilibrium constant of 1/500. Adding the second equation gives K3 = (1/500) * 5e-3 = 1e-5.
Chemistry,Given at 298 K: E(Fe2+/Fe) = X Volt and E(Fe3+/Fe) = Y Volt. E(Fe3+/Fe2+) is: (1) 2X-3Y (2) 3Y-2X (3) 3Y+2X (4) Y+X,medium,(2) 3Y - 2X,Using Gibbs Free Energy \Delta G = -nFE. \Delta G3 = \Delta G2 - \Delta G1 \Rightarrow -1*F*E = -3*F*Y - (-2*F*X) \Rightarrow E = 3Y - 2X.
Chemistry,"Statement I: When Ea = 12.6 kcal/mol, room temp rate constant is doubled by 10 C increase (298 K to 308 K). Statement II: For first order reaction, t1/2 vs [A]0 graph is a linear line through origin. (1) Both true (2) Both false (3) I true, II false (4) I false, II true",medium,(3) Statement I is true but Statement II is false,Statement I calculates correctly via Arrhenius equation. Statement II is false because half-life for first-order reactions is independent of initial concentration.
Chemistry,"Match List-I (Electronic configuration) with List-II (1st IE in kJ/mol). A. ns2 B. ns2 np1 C. ns2 np3 D. ns2 np6. IE values: 2080, 899, 800, 1402. Options: (1) A-II, B-III, C-IV, D-I (2) A-IV, B-III, C-II, D-I (3) A-III, B-II, C-IV, D-I (4) A-III, B-II, C-I, D-IV",medium,"(1) A-II, B-III, C-IV, D-I","Configs correspond to Be, B, N, Ne. Ionization energy order: B < Be < N < Ne. Matching with values yields A-II, B-III, C-IV, D-I."
Chemistry,"Find the correct statements related to group 15 hydrides. A. Reducing nature increases NH3 to BiH3. B. Tendency to donate lone pair decreases. C. Stability decreases. D. HEH bond angle decreases. (1) A, B only (2) B, C only (3) A, B, C, D (4) A, C, D only",medium,"(3) A, B, C and D",All four trends listed are correct for Group 15 hydrides moving down the group.
Chemistry,"Statement I: Number of pairs among [Ti4+, V2+], [V2+, Mn2+], [Mn2+, Fe3+] and [V2+, Cr2+] in which both are coloured is 3. Statement II: Number of pairs among [La3+, Yb2+], [Lu3+, Ce4+] and [Ac3+, Lr3+] which are diamagnetic is 3.",hard,(1) Both Statement I and Statement II are correct,"Ti4+ is d0 (colourless), making one pair invalid, leaving exactly 3 colored pairs. All given f-block/actinide pairs in Statement II have filled or empty shells and are diamagnetic (3 pairs)."
Chemistry,"Statement I: First row transition metals acting as catalyst utilize 3d electrons only. Statement II: Adsorption increases concentration on surface which strengthens bonds in reacting molecules. (1) Both correct (2) Both incorrect (3) I correct, II incorrect (4) I incorrect, II correct",medium,(2) Both Statement I and Statement II are incorrect,"Transition metals utilize BOTH 3d and 4s electrons. Adsorption on the catalyst surface WEAKENS reactant bonds, lowering activation energy."
Chemistry,"Statement I: Vapours of liquid with higher boiling point condense before lower boiling point in fractional distillation. Statement II: Vapours rising in column become richer in high boiling component. (1) Both true (2) Both false (3) I true, II false (4) I false, II true",medium,(3) Statement I is true but Statement II is false,"High BP components condense easily (Statement I true). Vapours rising become richer in the LOWER boiling (more volatile) component, making II false."
Chemistry,The total number of aromatic compounds/species from the following given cyclic structures is: (1) 6 (2) 4 (3) 3 (4) 5,medium,(2) 4,"By applying Huckel's rule (must be planar, cyclic, fully conjugated with 4n+2 \pi electrons), only 4 of the provided drawn structures qualify as aromatic."
Chemistry,n-Butane on photochemical chlorination gives optically active P. P on further chlorination gives dichloro compounds. Number of dichloro compounds (ignore stereoisomers) is: (1) 3 (2) 4 (3) 5 (4) 6,hard,(2) 4,"P is 2-chlorobutane. Further chlorination can occur at Carbon 1, 2, 3, or 4. Each produces a distinct structural isomer, yielding exactly 4 dichloro compounds."
Chemistry,"Statement I: Due to van der Waals forces, boiling point order is Propyl iodide > Ethyl iodide > Methyl iodide. Statement II: p-Dichlorobenzene has higher melting point but lower boiling point than o-isomer. (1) Both true (2) Both false (3) I true, II false (4) I false, II true",medium,(1) Both Statement-I and Statement-II are true.,BP increases with surface area (I is true). Para isomer packs perfectly in crystal lattice (high MP) but has a net zero dipole moment compared to ortho (low BP).
Chemistry,"Hoffmann bromamide degradation: A. 4 moles NaOH, 2 moles Br2 consumed. B. Not given by alkyl amides. C. Primary amines formed. D. Sec amide gives sec amine. E. By-products are Na2CO3, NaBr, H2O. True statements are: (1) A,C,E (2) B,C,D (3) C,E (4) C,D,E",medium,(3) C and E only,"Reaction uses 4 NaOH and 1 Br2 (A false). Works for alkyl amides (B false). Only primary amides and amines are involved (C true, D false). E is the correct byproduct list."
Chemistry,The incorrect statement with respect to carbohydrates is: (1) All monosaccharides are reducing sugars. (2) Monosaccharide units obtained from hydrolysis of oligosaccharides are always the same. (3) Starch and cellulose are polysaccharides. (4) Open chain and cyclic structures co-exist.,easy,(2) The monosaccharide units obtained from hydrolysis of oligosaccharides are always the same.,"Hydrolysis of an oligosaccharide like Lactose yields glucose and galactose, which are different monosaccharides. Thus, statement 2 is incorrect."
Chemistry,Which of the following amino acid will give violet coloured complex with neutral ferric chloride solution? (1) Threonine (2) Serine (3) Tyrosine (4) Cysteine,easy,(3) Tyrosine,Tyrosine is an amino acid that contains a phenolic hydroxyl group. Phenols characteristically react with neutral FeCl3 to form a violet complex.
Chemistry,"Number of paramagnetic complexes among [MnBr4]2-, [NiCl4]2-, [Ni(CN)4]2-, [Ni(CO)4], [CoF6]3-, [Fe(CN)6]4-, [Mn(CN)6]3-, [Ti(CN)6]3-, [Cu(H2O)6]2+, [Co(C2O4)3]3- is:",hard,6,"Applying crystal field theory and ligand strength, the paramagnetic complexes with unpaired electrons are [MnBr4]2-, [NiCl4]2-, [CoF6]3-, [Mn(CN)6]3-, [Ti(CN)6]3-, and [Cu(H2O)6]2+."
Chemistry,Consider two radiations of wavelengths 2000 A and 6000 A. The ratio of the energies of these two radiations (E1/E2) is:,easy,3,"Energy of a photon is inversely proportional to its wavelength (E = hc/\lambda). Therefore, E1/E2 = \lambda_2 / \lambda_1 = 6000 / 2000 = 3."
